gene.ids,SRX003935,SRX003921,SRX003924,SRX003923,SRX003925,SRX003932,SRX003920,SRX003922,SRX001291,SRX001364,SRX001365,SRX001366,SRX001367,SRX001368,SRX003931,SRX003929,SRX003928,SRX003934,SRX003926,SRX003927,SRX003930,SRX003933
ENSG00000119720,329,120,120,246,167,72,61,110,68,50,161,140,144,153,58,47,83,84,52,57,114,168
ENSG00000119723,91,59,91,158,224,52,51,67,62,56,171,153,109,176,60,108,110,68,39,53,103,294
ENSG00000119760,126,153,234,205,112,170,175,96,108,86,305,311,433,328,115,125,82,322,85,113,58,235
ENSG00000119844,51,30,49,58,42,24,61,28,42,30,108,93,76,136,42,17,13,47,49,17,18,73
ENSG00000119865,0,0,35,0,0,94,74,34,42,34,168,114,166,165,103,15,3,75,61,11,11,55
ENSG00000119917,0,10,71,444,3,132,108,112,31,31,76,82,59,117,85,83,36,99,83,26,44,157
ENSG00000119919,15,0,1,1,1,1,0,0,0,0,0,0,2,1,1340,0,0,14,0,0,0,8
ENSG00000119922,6,25,52,570,7,44,120,45,23,14,63,76,64,99,34,26,33,97,49,9,19,90
ENSG00000119938,19,18,0,14,1,8,59,38,2,4,11,13,6,10,52,173,92,43,26,27,454,116
ENSG00000119950,18,178,197,85,24,171,161,73,55,50,219,179,225,284,403,148,22,181,95,55,183,250
ENSG00000119986,19,280,80,54,44,211,66,160,19,15,65,57,64,69,160,17,53,97,28,42,48,139
ENSG00000120057,2,0,2,4,4,262,5,5,5,9,27,21,23,70,2310,17,270,314,7,3,37,116
ENSG00000120063,698,222,193,710,338,451,258,122,45,32,131,106,134,130,401,198,79,462,94,195,532,402
ENSG00000120071,431,520,373,505,585,948,390,561,314,362,939,973,1367,1100,718,160,131,1187,295,277,673,2395
ENSG00000120129,214,1006,72,256,58,9068,224,3541,180,200,526,556,591,705,2918,656,1072,4569,262,202,2042,4097
ENSG00000120149,327,26,18,252,377,5,1,8,6,4,23,22,25,27,2,4,0,3,4,19,6,55
ENSG00000120279,0,0,1,0,0,493,38,120,4,2,11,6,7,6,128,80,41,176,14,2,80,97
ENSG00000120306,10,113,129,115,325,609,96,374,52,42,127,95,130,109,448,88,79,381,42,61,451,520
ENSG00000120594,42,140,0,208,18,771,77,213,21,21,49,37,52,50,376,89,34,308,44,6,135,295
ENSG00000120645,0,0,0,0,2,150,298,76,398,288,786,1007,1810,1259,41,17,1,24,218,0,1,53
ENSG00000120647,72,37,329,50,83,13,36,26,17,9,24,25,32,27,20,19,14,64,19,113,19,71
